"Country","tests_volume_indicator","gdp_per_capita","Continent","CEO2023","WHO2000","democracy_index","corruption_index","year"
"Turks and Caicos Islands",NA,23158.6378951102,"Other",NA,NA,NA,NA,"2021"
"Tuvalu",NA,5372.76023865042,"Western Pacific Region (WPR)",NA,0.518,NA,NA,"2021"
"Uganda",0.029019158897696,883.465728077878,"African Region (AFR)",44.1,0.464,4.48,28,"2021"
"Ukraine",0.255744079833756,4827.845703125,"European Region (EUR)",NA,0.708,5.57,30,"2021"
"United Arab Emirates",9.16727694475194,44332.3400513163,"Eastern Mediterranean Region (EMR)",55.37,0.886,2.9,71,"2021"
"United Kingdom",5.10221126677219,46869.759058411,"European Region (EUR)",53.25,0.925,8.1,77,"2021"
"United States",1.39896409928688,70219.472454115,"Region of the Americas (AMR)",51.34,0.838,7.85,69,"2021"
"Upper middle income",NA,10271.8014880384,"Other",NA,NA,NA,NA,"2021"
"Uruguay",1.0772464346834,17923.9953327961,"Region of the Americas (AMR)",51.8,0.745,8.85,71,"2021"
"Uzbekistan",NA,1993.42447787206,"European Region (EUR)",48.14,0.599,2.12,25,"2021"
"Vanuatu",NA,3044.57364031957,"Western Pacific Region (WPR)",NA,0.559,NA,46,"2021"
"Venezuela",NA,NA,"Region of the Americas (AMR)",48.94,0.775,2.11,16,"2021"
"Vietnam",NA,3756.48890080884,"Western Pacific Region (WPR)",NA,0.393,2.94,37,"2021"
"Virgin Islands (U.S.)",NA,41976.0083120809,"Other",NA,NA,NA,NA,"2021"
"West Bank and Gaza",NA,3678.63565662194,"Other",NA,NA,NA,NA,"2021"
"World",NA,12316.1024614581,"Other",NA,NA,5.2813773,NA,"2021"
"Yemen",NA,NA,"Eastern Mediterranean Region (EMR)",NA,0.587,1.95,15,"2021"
"Zambia",0.122746555757733,1134.71345424991,"African Region (AFR)",45.29,0.269,5.72,34,"2021"
"Zimbabwe",0.0825521594684385,1773.92041090285,"African Region (AFR)",NA,0.427,2.92,24,"2021"
