"","Country","date","cumulative_number_of_deaths","cumulative_number_of_cases","Cumulative_number_of_tests","tests_cum_weekly"
"1","African Region (AFR)",2020-01-05,0,0,0,0
"2","African Region (AFR)",2020-01-06,0,0,0,0
"3","African Region (AFR)",2020-01-07,0,0,0,0
"4","African Region (AFR)",2020-01-08,0,0,0,0
"5","African Region (AFR)",2020-01-09,0,0,0,0
"6","African Region (AFR)",2020-01-10,0,0,0,0
"7","African Region (AFR)",2020-01-11,0,0,0,0
"8","African Region (AFR)",2020-01-12,0,0,0,0
"9","African Region (AFR)",2020-01-13,0,0,0,0
"10","African Region (AFR)",2020-01-14,0,0,0,0
"11","African Region (AFR)",2020-01-15,0,0,0,0
"12","African Region (AFR)",2020-01-16,0,0,0,0
"13","African Region (AFR)",2020-01-17,0,0,0,0
"14","African Region (AFR)",2020-01-18,0,0,0,0
"15","African Region (AFR)",2020-01-19,0,0,0,0
"16","African Region (AFR)",2020-01-20,0,0,0,0
"17","African Region (AFR)",2020-01-21,0,0,0,0
"18","African Region (AFR)",2020-01-22,0,0,0,0
"19","African Region (AFR)",2020-01-23,0,0,0,0
"20","African Region (AFR)",2020-01-24,0,0,0,0
"21","African Region (AFR)",2020-01-25,0,0,0,0
"22","African Region (AFR)",2020-01-26,0,0,0,0
"23","African Region (AFR)",2020-01-27,0,0,0,0
"24","African Region (AFR)",2020-01-28,0,0,0,0
"25","African Region (AFR)",2020-01-29,0,0,0,0
"26","African Region (AFR)",2020-01-30,0,0,0,0
"27","African Region (AFR)",2020-01-31,0,0,0,0
"28","African Region (AFR)",2020-02-01,0,0,0,0
"29","African Region (AFR)",2020-02-02,0,0,0,0
"30","African Region (AFR)",2020-02-03,0,0,0,0
"31","African Region (AFR)",2020-02-04,0,0,0,0
"32","African Region (AFR)",2020-02-05,0,0,0,0
"33","African Region (AFR)",2020-02-06,0,0,0,0
"34","African Region (AFR)",2020-02-07,0,0,42,0
"35","African Region (AFR)",2020-02-08,0,0,42,0
"36","African Region (AFR)",2020-02-09,0,0,42,42
"37","African Region (AFR)",2020-02-10,0,0,42,42
"38","African Region (AFR)",2020-02-11,0,0,61,42
"39","African Region (AFR)",2020-02-12,0,0,61,42
"40","African Region (AFR)",2020-02-13,0,0,67,42
"41","African Region (AFR)",2020-02-14,0,0,71,42
"42","African Region (AFR)",2020-02-15,0,0,71,42
"43","African Region (AFR)",2020-02-16,0,0,71,71
"44","African Region (AFR)",2020-02-17,0,0,71,71
"45","African Region (AFR)",2020-02-18,0,0,71,71
"46","African Region (AFR)",2020-02-19,0,0,95,71
"47","African Region (AFR)",2020-02-20,0,0,106,71
"48","African Region (AFR)",2020-02-21,0,0,106,71
"49","African Region (AFR)",2020-02-22,0,0,106,71
"50","African Region (AFR)",2020-02-23,0,0,106,106
"51","African Region (AFR)",2020-02-24,0,0,116,106
"52","African Region (AFR)",2020-02-25,0,0,116,106
"53","African Region (AFR)",2020-02-26,0,0,121,106
"54","African Region (AFR)",2020-02-27,0,0,121,106
"55","African Region (AFR)",2020-02-28,0,0,122,106
"56","African Region (AFR)",2020-02-29,0,0,122,106
"57","African Region (AFR)",2020-03-01,0,0,122,122
"58","African Region (AFR)",2020-03-02,0,0,161,122
"59","African Region (AFR)",2020-03-03,0,0,167,122
"60","African Region (AFR)",2020-03-04,0,0,1606,122
"61","African Region (AFR)",2020-03-05,0,0,1608,122
"62","African Region (AFR)",2020-03-06,0,0,1646,122
"63","African Region (AFR)",2020-03-07,0,0,1690,122
"64","African Region (AFR)",2020-03-08,0,4,1692,1692
"65","African Region (AFR)",2020-03-09,0,5,1702,1692
"66","African Region (AFR)",2020-03-10,0,5,1707,1692
"67","African Region (AFR)",2020-03-11,0,7,2119,1692
"68","African Region (AFR)",2020-03-12,0,7,2332,1692
"69","African Region (AFR)",2020-03-13,0,7,2420,1692
"70","African Region (AFR)",2020-03-14,0,7,2518,1692
"71","African Region (AFR)",2020-03-15,0,66,2979,2979
"72","African Region (AFR)",2020-03-16,0,66,3920,2979
"73","African Region (AFR)",2020-03-17,0,66,4482,2979
"74","African Region (AFR)",2020-03-18,0,66,4688,2979
"75","African Region (AFR)",2020-03-19,0,66,6535,2979
"76","African Region (AFR)",2020-03-20,0,66,8243,2979
"77","African Region (AFR)",2020-03-21,0,66,9286,2979
"78","African Region (AFR)",2020-03-22,0,327,11293,11293
"79","African Region (AFR)",2020-03-23,0,327,14883,11293
"80","African Region (AFR)",2020-03-24,0,327,17717,11293
"81","African Region (AFR)",2020-03-25,0,327,17939,11293
"82","African Region (AFR)",2020-03-26,0,327,23107,11293
"83","African Region (AFR)",2020-03-27,0,327,31418,11293
"84","African Region (AFR)",2020-03-28,0,327,35066,11293
"85","African Region (AFR)",2020-03-29,2,1387,38945,38945
"86","African Region (AFR)",2020-03-30,2,1387,41995,38945
"87","African Region (AFR)",2020-03-31,2,1387,44891,38945
"88","African Region (AFR)",2020-04-01,2,1398,48737,38945
"89","African Region (AFR)",2020-04-02,2,1398,52847,38945
"90","African Region (AFR)",2020-04-03,3,1398,56510,38945
"91","African Region (AFR)",2020-04-04,3,1398,60466,38945
"92","African Region (AFR)",2020-04-05,16,1909,63917,63917
"93","African Region (AFR)",2020-04-06,16,1909,65592,63917
"94","African Region (AFR)",2020-04-07,16,2011,73389,63917
"95","African Region (AFR)",2020-04-08,23,2225,85212,63917
"96","African Region (AFR)",2020-04-09,23,2225,91900,63917
"97","African Region (AFR)",2020-04-10,23,2225,97506,63917
"98","African Region (AFR)",2020-04-11,23,2225,100821,63917
"99","African Region (AFR)",2020-04-12,43,2797,108075,108075
"100","African Region (AFR)",2020-04-13,48,3425,117014,108075
"101","African Region (AFR)",2020-04-14,48,3425,121869,108075
"102","African Region (AFR)",2020-04-15,48,3425,127256,108075
"103","African Region (AFR)",2020-04-16,53,3529,135718,108075
"104","African Region (AFR)",2020-04-17,53,3529,144179,108075
"105","African Region (AFR)",2020-04-18,53,3529,153102,108075
"106","African Region (AFR)",2020-04-19,83,4875,162276,162276
"107","African Region (AFR)",2020-04-20,83,4875,171573,162276
"108","African Region (AFR)",2020-04-21,83,4875,179905,162276
"109","African Region (AFR)",2020-04-22,83,4875,189651,162276
"110","African Region (AFR)",2020-04-23,92,5098,205433,162276
"111","African Region (AFR)",2020-04-24,92,5098,217084,162276
"112","African Region (AFR)",2020-04-25,92,5098,230146,162276
"113","African Region (AFR)",2020-04-26,134,6966,240734,240734
"114","African Region (AFR)",2020-04-27,134,6973,253125,240734
"115","African Region (AFR)",2020-04-28,150,7614,265435,240734
"116","African Region (AFR)",2020-04-29,150,7614,281790,240734
"117","African Region (AFR)",2020-04-30,150,7614,295677,240734
"118","African Region (AFR)",2020-05-01,150,7614,311194,240734
"119","African Region (AFR)",2020-05-02,150,7614,328123,240734
"120","African Region (AFR)",2020-05-03,241,11737,349028,349028
"121","African Region (AFR)",2020-05-04,241,11737,366134,349028
"122","African Region (AFR)",2020-05-05,241,11737,381666,349028
"123","African Region (AFR)",2020-05-06,249,11772,406626,349028
"124","African Region (AFR)",2020-05-07,249,11772,426392,349028
"125","African Region (AFR)",2020-05-08,249,11772,447688,349028
"126","African Region (AFR)",2020-05-09,249,11772,468647,349028
"127","African Region (AFR)",2020-05-10,324,15891,489466,489466
"128","African Region (AFR)",2020-05-11,365,17654,511308,489466
"129","African Region (AFR)",2020-05-12,365,17654,529916,489466
"130","African Region (AFR)",2020-05-13,365,17654,551361,489466
"131","African Region (AFR)",2020-05-14,365,17654,574068,489466
"132","African Region (AFR)",2020-05-15,365,17654,596297,489466
"133","African Region (AFR)",2020-05-16,365,17654,623821,489466
"134","African Region (AFR)",2020-05-17,492,25817,650902,650902
"135","African Region (AFR)",2020-05-18,492,25817,672045,650902
"136","African Region (AFR)",2020-05-19,492,25817,692171,650902
"137","African Region (AFR)",2020-05-20,492,25817,715652,650902
"138","African Region (AFR)",2020-05-21,492,25817,740667,650902
"139","African Region (AFR)",2020-05-22,492,25817,767657,650902
"140","African Region (AFR)",2020-05-23,492,25817,794324,650902
"141","African Region (AFR)",2020-05-24,689,35708,820402,820402
"142","African Region (AFR)",2020-05-25,689,35708,838367,820402
"143","African Region (AFR)",2020-05-26,689,35708,851899,820402
"144","African Region (AFR)",2020-05-27,689,35949,892751,820402
"145","African Region (AFR)",2020-05-28,689,35949,919736,820402
"146","African Region (AFR)",2020-05-29,689,35949,957887,820402
"147","African Region (AFR)",2020-05-30,689,35949,986753,820402
"148","African Region (AFR)",2020-05-31,930,46770,1014197,1014197
"149","African Region (AFR)",2020-06-01,982,49236,1044418,1014197
"150","African Region (AFR)",2020-06-02,982,49236,1069712,1014197
"151","African Region (AFR)",2020-06-03,982,49236,1102922,1014197
"152","African Region (AFR)",2020-06-04,982,49236,1143970,1014197
"153","African Region (AFR)",2020-06-05,982,49236,1181465,1014197
"154","African Region (AFR)",2020-06-06,982,49236,1235229,1014197
"155","African Region (AFR)",2020-06-07,2067,68324,1269693,1269693
"156","African Region (AFR)",2020-06-08,2067,68335,1299416,1269693
"157","African Region (AFR)",2020-06-09,2067,68432,1334004,1269693
"158","African Region (AFR)",2020-06-10,2067,68432,1372943,1269693
"159","African Region (AFR)",2020-06-11,2067,68432,1409986,1269693
"160","African Region (AFR)",2020-06-12,2067,68432,1449006,1269693
"161","African Region (AFR)",2020-06-13,2067,68432,1489734,1269693
"162","African Region (AFR)",2020-06-14,2932,94113,1532521,1532521
"163","African Region (AFR)",2020-06-15,2932,94113,1566497,1532521
"164","African Region (AFR)",2020-06-16,2932,94113,1598630,1532521
"165","African Region (AFR)",2020-06-17,2932,94150,1646332,1532521
"166","African Region (AFR)",2020-06-18,2932,94150,1683682,1532521
"167","African Region (AFR)",2020-06-19,2932,94150,1728044,1532521
"168","African Region (AFR)",2020-06-20,2932,94150,1771187,1532521
"169","African Region (AFR)",2020-06-21,4049,128857,1814675,1814675
"170","African Region (AFR)",2020-06-22,4049,128857,1846912,1814675
"171","African Region (AFR)",2020-06-23,4049,128857,1887433,1814675
"172","African Region (AFR)",2020-06-24,4049,128869,1934582,1814675
"173","African Region (AFR)",2020-06-25,4049,128869,1988003,1814675
"174","African Region (AFR)",2020-06-26,4049,128869,2029668,1814675
"175","African Region (AFR)",2020-06-27,4049,128869,2079444,1814675
"176","African Region (AFR)",2020-06-28,5314,175110,2126942,2126942
"177","African Region (AFR)",2020-06-29,5314,175110,2164176,2126942
"178","African Region (AFR)",2020-06-30,5314,175146,2212930,2126942
"179","African Region (AFR)",2020-07-01,5314,175146,2264028,2126942
"180","African Region (AFR)",2020-07-02,5314,175146,2314444,2126942
"181","African Region (AFR)",2020-07-03,5314,175146,2366413,2126942
"182","African Region (AFR)",2020-07-04,5314,175146,2426192,2126942
"183","African Region (AFR)",2020-07-05,6287,238169,2474642,2474642
"184","African Region (AFR)",2020-07-06,6287,238595,2519339,2474642
"185","African Region (AFR)",2020-07-07,6287,238595,2569252,2474642
"186","African Region (AFR)",2020-07-08,6287,238595,2630138,2474642
"187","African Region (AFR)",2020-07-09,6287,238595,2696516,2474642
"188","African Region (AFR)",2020-07-10,6287,238595,2765490,2474642
"189","African Region (AFR)",2020-07-11,6287,238595,2828669,2474642
"190","African Region (AFR)",2020-07-12,7514,322860,2889034,2889034
"191","African Region (AFR)",2020-07-13,7514,322860,2938716,2889034
"192","African Region (AFR)",2020-07-14,7514,322860,2986789,2889034
"193","African Region (AFR)",2020-07-15,7514,322860,3055422,2889034
"194","African Region (AFR)",2020-07-16,7514,322860,3114433,2889034
"195","African Region (AFR)",2020-07-17,7514,322860,3174726,2889034
"196","African Region (AFR)",2020-07-18,7514,322860,3235133,2889034
"197","African Region (AFR)",2020-07-19,8646,418203,3301670,3301670
"198","African Region (AFR)",2020-07-20,8646,418203,3343492,3301670
"199","African Region (AFR)",2020-07-21,8646,418203,3391062,3301670
"200","African Region (AFR)",2020-07-22,8646,418203,3479256,3301670
"201","African Region (AFR)",2020-07-23,8646,418203,3546154,3301670
"202","African Region (AFR)",2020-07-24,8646,418203,3615174,3301670
"203","African Region (AFR)",2020-07-25,8646,418203,3677925,3301670
"204","African Region (AFR)",2020-07-26,10491,510886,3733967,3733967
"205","African Region (AFR)",2020-07-27,10491,511050,3783472,3733967
"206","African Region (AFR)",2020-07-28,10491,511050,3827103,3733967
"207","African Region (AFR)",2020-07-29,10491,511050,3885668,3733967
"208","African Region (AFR)",2020-07-30,10491,511050,3945250,3733967
"209","African Region (AFR)",2020-07-31,10491,511050,4000747,3733967
"210","African Region (AFR)",2020-08-01,10491,511050,4061069,3733967
"211","African Region (AFR)",2020-08-02,12108,589087,4105913,4105913
"212","African Region (AFR)",2020-08-03,12108,589087,4138723,4105913
"213","African Region (AFR)",2020-08-04,12108,589087,4181699,4105913
"214","African Region (AFR)",2020-08-05,12108,589087,4225714,4105913
"215","African Region (AFR)",2020-08-06,12108,589087,4275322,4105913
"216","African Region (AFR)",2020-08-07,12109,589295,4330533,4105913
"217","African Region (AFR)",2020-08-08,12109,589295,4381593,4105913
"218","African Region (AFR)",2020-08-09,14333,646569,4427858,4427858
"219","African Region (AFR)",2020-08-10,14333,646741,4467011,4427858
"220","African Region (AFR)",2020-08-11,14333,646741,4489433,4427858
"221","African Region (AFR)",2020-08-12,14333,646741,4534580,4427858
"222","African Region (AFR)",2020-08-13,14333,646741,4574972,4427858
"223","African Region (AFR)",2020-08-14,14333,646741,4625417,4427858
"224","African Region (AFR)",2020-08-15,14333,646741,4665054,4427858
"225","African Region (AFR)",2020-08-16,15968,684782,4709118,4709118
"226","African Region (AFR)",2020-08-17,15968,684782,4735911,4709118
"227","African Region (AFR)",2020-08-18,15968,684782,4763199,4709118
"228","African Region (AFR)",2020-08-19,15968,684782,4807244,4709118
"229","African Region (AFR)",2020-08-20,15968,684782,4846881,4709118
"230","African Region (AFR)",2020-08-21,15968,684782,4888196,4709118
"231","African Region (AFR)",2020-08-22,15968,684782,4943046,4709118
"232","African Region (AFR)",2020-08-23,17383,717246,4978741,4978741
"233","African Region (AFR)",2020-08-24,17383,717340,5003063,4978741
"234","African Region (AFR)",2020-08-25,17383,717340,5034330,4978741
"235","African Region (AFR)",2020-08-26,17383,717340,5071231,4978741
"236","African Region (AFR)",2020-08-27,17383,717340,5105343,4978741
"237","African Region (AFR)",2020-08-28,17383,717340,5141621,4978741
"238","African Region (AFR)",2020-08-29,17383,717340,5179172,4978741
"239","African Region (AFR)",2020-08-30,18485,739957,5215818,5215818
"240","African Region (AFR)",2020-08-31,18485,739957,5247012,5215818
"241","African Region (AFR)",2020-09-01,18485,739957,5270849,5215818
"242","African Region (AFR)",2020-09-02,18485,739957,5312238,5215818
"243","African Region (AFR)",2020-09-03,18488,740282,5357633,5215818
"244","African Region (AFR)",2020-09-04,18488,740282,5388977,5215818
"245","African Region (AFR)",2020-09-05,18488,740282,5421582,5215818
"246","African Region (AFR)",2020-09-06,19378,760381,5456927,5456927
"247","African Region (AFR)",2020-09-07,19378,760381,5478897,5456927
"248","African Region (AFR)",2020-09-08,19378,760381,5506916,5456927
"249","African Region (AFR)",2020-09-09,19378,760381,5543876,5456927
"250","African Region (AFR)",2020-09-10,19378,760381,5576894,5456927
"251","African Region (AFR)",2020-09-11,19378,760381,5611783,5456927
"252","African Region (AFR)",2020-09-12,19378,760381,5655609,5456927
"253","African Region (AFR)",2020-09-13,20121,776430,5681285,5681285
"254","African Region (AFR)",2020-09-14,20124,776891,5706297,5681285
"255","African Region (AFR)",2020-09-15,20124,776891,5726617,5681285
"256","African Region (AFR)",2020-09-16,20124,776891,5755506,5681285
"257","African Region (AFR)",2020-09-17,20124,776891,5786469,5681285
"258","African Region (AFR)",2020-09-18,20124,776891,5843972,5681285
"259","African Region (AFR)",2020-09-19,20124,776891,5874929,5681285
"260","African Region (AFR)",2020-09-20,20691,790824,5924196,5924196
"261","African Region (AFR)",2020-09-21,20708,791792,5945126,5924196
"262","African Region (AFR)",2020-09-22,20708,791792,5969024,5924196
"263","African Region (AFR)",2020-09-23,20708,791792,6004989,5924196
"264","African Region (AFR)",2020-09-24,20708,791792,6032234,5924196
"265","African Region (AFR)",2020-09-25,20708,791792,6066250,5924196
"266","African Region (AFR)",2020-09-26,20708,791792,6094306,5924196
"267","African Region (AFR)",2020-09-27,21165,803674,6117255,6117255
"268","African Region (AFR)",2020-09-28,21176,804727,6135443,6117255
"269","African Region (AFR)",2020-09-29,21176,804727,6158457,6117255
"270","African Region (AFR)",2020-09-30,21176,804727,6191430,6117255
"271","African Region (AFR)",2020-10-01,21176,804727,6222419,6117255
"272","African Region (AFR)",2020-10-02,21176,804727,6251471,6117255
"273","African Region (AFR)",2020-10-03,21176,804727,6294091,6117255
"274","African Region (AFR)",2020-10-04,21761,818268,6370816,6370816
"275","African Region (AFR)",2020-10-05,21761,818268,6395043,6370816
"276","African Region (AFR)",2020-10-06,21761,818268,6416728,6370816
"277","African Region (AFR)",2020-10-07,21761,818268,6460542,6370816
"278","African Region (AFR)",2020-10-08,21761,818268,6507316,6370816
"279","African Region (AFR)",2020-10-09,21761,818268,6536676,6370816
"280","African Region (AFR)",2020-10-10,21761,818268,6582949,6370816
"281","African Region (AFR)",2020-10-11,22395,831731,6613532,6613532
"282","African Region (AFR)",2020-10-12,22395,831731,6632944,6613532
"283","African Region (AFR)",2020-10-13,22397,831778,6679671,6613532
"284","African Region (AFR)",2020-10-14,22397,831778,6719363,6613532
"285","African Region (AFR)",2020-10-15,22397,831778,6757645,6613532
"286","African Region (AFR)",2020-10-16,22397,831778,6808862,6613532
"287","African Region (AFR)",2020-10-17,22397,831778,6846108,6613532
"288","African Region (AFR)",2020-10-18,22505,845562,6880596,6880596
"289","African Region (AFR)",2020-10-19,22508,847585,6916280,6880596
"290","African Region (AFR)",2020-10-20,22508,847585,6951163,6880596
"291","African Region (AFR)",2020-10-21,22508,847585,6990426,6880596
"292","African Region (AFR)",2020-10-22,22508,847585,7037079,6880596
"293","African Region (AFR)",2020-10-23,22508,847585,7079375,6880596
"294","African Region (AFR)",2020-10-24,22508,847585,7123880,6880596
"295","African Region (AFR)",2020-10-25,22747,861683,7154326,7154326
"296","African Region (AFR)",2020-10-26,22747,861683,7182099,7154326
"297","African Region (AFR)",2020-10-27,22747,861683,7210620,7154326
"298","African Region (AFR)",2020-10-28,22747,861683,7248719,7154326
"299","African Region (AFR)",2020-10-29,22747,861683,7287400,7154326
"300","African Region (AFR)",2020-10-30,22747,861683,7326726,7154326
"301","African Region (AFR)",2020-10-31,22747,861683,7364349,7154326
"302","African Region (AFR)",2020-11-01,22869,876247,7426303,7426303
"303","African Region (AFR)",2020-11-02,22874,876534,7447091,7426303
"304","African Region (AFR)",2020-11-03,22874,876534,7472512,7426303
"305","African Region (AFR)",2020-11-04,22874,876534,7548989,7426303
"306","African Region (AFR)",2020-11-05,22874,876534,7586305,7426303
"307","African Region (AFR)",2020-11-06,22874,876534,7620977,7426303
"308","African Region (AFR)",2020-11-07,22874,876534,7661494,7426303
"309","African Region (AFR)",2020-11-08,22968,889201,7696263,7696263
"310","African Region (AFR)",2020-11-09,22968,889201,7718667,7696263
"311","African Region (AFR)",2020-11-10,22968,889201,7748032,7696263
"312","African Region (AFR)",2020-11-11,22971,890394,7818130,7696263
"313","African Region (AFR)",2020-11-12,22971,890394,7860715,7696263
"314","African Region (AFR)",2020-11-13,22971,890394,7894209,7696263
"315","African Region (AFR)",2020-11-14,22971,890394,7934891,7696263
"316","African Region (AFR)",2020-11-15,23128,905220,7979252,7979252
"317","African Region (AFR)",2020-11-16,23128,905220,8000598,7979252
"318","African Region (AFR)",2020-11-17,23128,905220,8028366,7979252
"319","African Region (AFR)",2020-11-18,23137,906426,8084246,7979252
"320","African Region (AFR)",2020-11-19,23143,906607,8162770,7979252
"321","African Region (AFR)",2020-11-20,23143,906607,8203945,7979252
"322","African Region (AFR)",2020-11-21,23143,906607,8259143,7979252
"323","African Region (AFR)",2020-11-22,23384,925777,8306876,8306876
"324","African Region (AFR)",2020-11-23,23384,925777,8330466,8306876
"325","African Region (AFR)",2020-11-24,23384,925777,8366151,8306876
"326","African Region (AFR)",2020-11-25,23388,927146,8422767,8306876
"327","African Region (AFR)",2020-11-26,23388,927146,8471055,8306876
"328","African Region (AFR)",2020-11-27,23388,927146,8485057,8306876
"329","African Region (AFR)",2020-11-28,23388,927146,8499757,8306876
"330","African Region (AFR)",2020-11-29,23413,929975,8528322,8528322
"331","African Region (AFR)",2020-11-30,23413,929975,8539756,8528322
"332","African Region (AFR)",2020-12-01,23418,931077,8575648,8528322
"333","African Region (AFR)",2020-12-02,23418,931077,8590239,8528322
"334","African Region (AFR)",2020-12-03,24012,950807,8739517,8528322
"335","African Region (AFR)",2020-12-04,24012,950807,8802698,8528322
"336","African Region (AFR)",2020-12-05,24012,950807,8851102,8528322
"337","African Region (AFR)",2020-12-06,24672,978643,8887302,8887302
"338","African Region (AFR)",2020-12-07,24688,981575,8953664,8887302
"339","African Region (AFR)",2020-12-08,24688,981575,9009862,8887302
"340","African Region (AFR)",2020-12-09,24688,981575,9080549,8887302
"341","African Region (AFR)",2020-12-10,24688,981575,9150464,8887302
"342","African Region (AFR)",2020-12-11,24688,981575,9231958,8887302
"343","African Region (AFR)",2020-12-12,24688,981575,9292683,8887302
"344","African Region (AFR)",2020-12-13,25782,1032200,9359423,9359423
"345","African Region (AFR)",2020-12-14,25782,1032200,9399368,9359423
"346","African Region (AFR)",2020-12-15,25782,1032200,9443991,9359423
"347","African Region (AFR)",2020-12-16,25787,1032644,9526715,9359423
"348","African Region (AFR)",2020-12-17,25787,1032644,9592658,9359423
"349","African Region (AFR)",2020-12-18,25787,1032644,9676526,9359423
"350","African Region (AFR)",2020-12-19,25787,1032644,9743587,9359423
"351","African Region (AFR)",2020-12-20,27259,1096586,9796948,9796948
"352","African Region (AFR)",2020-12-21,27286,1103178,9886130,9796948
"353","African Region (AFR)",2020-12-22,27286,1103178,9946816,9796948
"354","African Region (AFR)",2020-12-23,27286,1103178,10013602,9796948
"355","African Region (AFR)",2020-12-24,27286,1103178,10101705,9796948
"356","African Region (AFR)",2020-12-25,27286,1103178,10168477,9796948
"357","African Region (AFR)",2020-12-26,27286,1103178,10257354,9796948
"358","African Region (AFR)",2020-12-27,29357,1192590,10301513,10301513
"359","African Region (AFR)",2020-12-28,29387,1198910,10350634,10301513
"360","African Region (AFR)",2020-12-29,29387,1198910,10402780,10301513
"361","African Region (AFR)",2020-12-30,29387,1198910,10483348,10301513
"362","African Region (AFR)",2020-12-31,29387,1198910,10569501,10301513
"363","African Region (AFR)",2021-01-01,29387,1198910,10649223,10301513
"364","African Region (AFR)",2021-01-02,29387,1198910,10712816,10301513
"365","African Region (AFR)",2021-01-03,32196,1306031,10768500,10768500
"366","African Region (AFR)",2021-01-04,32201,1307363,10827352,10768500
"367","African Region (AFR)",2021-01-05,32226,1308113,10933243,10768500
"368","African Region (AFR)",2021-01-06,32226,1308113,11028530,10768500
"369","African Region (AFR)",2021-01-07,32226,1308113,11146617,10768500
"370","African Region (AFR)",2021-01-08,32226,1308113,11277476,10768500
"371","African Region (AFR)",2021-01-09,32226,1308113,11390827,10768500
"372","African Region (AFR)",2021-01-10,36210,1461661,11490735,11490735
"373","African Region (AFR)",2021-01-11,36214,1462490,11580515,11490735
"374","African Region (AFR)",2021-01-12,36214,1462490,11654992,11490735
"375","African Region (AFR)",2021-01-13,36214,1462490,11750541,11490735
"376","African Region (AFR)",2021-01-14,36214,1462490,11950157,11490735
"377","African Region (AFR)",2021-01-15,36214,1462490,12064118,11490735
"378","African Region (AFR)",2021-01-16,36214,1462490,12157174,11490735
"379","African Region (AFR)",2021-01-17,40665,1605305,12236058,12236058
"380","African Region (AFR)",2021-01-18,40688,1607204,12323820,12236058
"381","African Region (AFR)",2021-01-19,40688,1607204,12412746,12236058
"382","African Region (AFR)",2021-01-20,40710,1608593,12522965,12236058
"383","African Region (AFR)",2021-01-21,40710,1608593,12610677,12236058
"384","African Region (AFR)",2021-01-22,40710,1608593,12738052,12236058
"385","African Region (AFR)",2021-01-23,40710,1608593,12851494,12236058
"386","African Region (AFR)",2021-01-24,45033,1719756,12939517,12939517
"387","African Region (AFR)",2021-01-25,45076,1721802,13017929,12939517
"388","African Region (AFR)",2021-01-26,45076,1721802,13078992,12939517
"389","African Region (AFR)",2021-01-27,45076,1721802,13169079,12939517
"390","African Region (AFR)",2021-01-28,45076,1721802,13248065,12939517
"391","African Region (AFR)",2021-01-29,45076,1721802,13342657,12939517
"392","African Region (AFR)",2021-01-30,45076,1721802,13416493,12939517
"393","African Region (AFR)",2021-01-31,48983,1794902,13522987,13522987
"394","African Region (AFR)",2021-02-01,49008,1796529,13586566,13522987
"395","African Region (AFR)",2021-02-02,49008,1796529,13634723,13522987
"396","African Region (AFR)",2021-02-03,49008,1796529,13697504,13522987
"397","African Region (AFR)",2021-02-04,49008,1796529,13758244,13522987
"398","African Region (AFR)",2021-02-05,49008,1796529,13827295,13522987
"399","African Region (AFR)",2021-02-06,49008,1796529,13879185,13522987
"400","African Region (AFR)",2021-02-07,51565,1836597,13938458,13938458
"401","African Region (AFR)",2021-02-08,51664,1847480,14066456,13938458
"402","African Region (AFR)",2021-02-09,51664,1847480,14107139,13938458
"403","African Region (AFR)",2021-02-10,51664,1847480,14172488,13938458
"404","African Region (AFR)",2021-02-11,51664,1847480,14219088,13938458
"405","African Region (AFR)",2021-02-12,51664,1847480,14287833,13938458
"406","African Region (AFR)",2021-02-13,51664,1847480,14343413,13938458
"407","African Region (AFR)",2021-02-14,53601,1877251,14395687,14395687
"408","African Region (AFR)",2021-02-15,53747,1885054,14482676,14395687
"409","African Region (AFR)",2021-02-16,53747,1885054,14526444,14395687
"410","African Region (AFR)",2021-02-17,53747,1885054,14580087,14395687
"411","African Region (AFR)",2021-02-18,53747,1885054,14636196,14395687
"412","African Region (AFR)",2021-02-19,53747,1885054,14730161,14395687
"413","African Region (AFR)",2021-02-20,53747,1885054,14778803,14395687
"414","African Region (AFR)",2021-02-21,55067,1909178,14820966,14820966
"415","African Region (AFR)",2021-02-22,55206,1915248,14926603,14820966
"416","African Region (AFR)",2021-02-23,55206,1915248,14969864,14820966
"417","African Region (AFR)",2021-02-24,55206,1915248,15023962,14820966
"418","African Region (AFR)",2021-02-25,55206,1915248,15079100,14820966
"419","African Region (AFR)",2021-02-26,55206,1915248,15137059,14820966
"420","African Region (AFR)",2021-02-27,55206,1915248,15182910,14820966
"421","African Region (AFR)",2021-02-28,56410,1934795,15223170,15223170
"422","African Region (AFR)",2021-03-01,56541,1944003,15316549,15223170
"423","African Region (AFR)",2021-03-02,56541,1944003,15359357,15223170
"424","African Region (AFR)",2021-03-03,56541,1944003,15412167,15223170
"425","African Region (AFR)",2021-03-04,56541,1944003,15465391,15223170
"426","African Region (AFR)",2021-03-05,56541,1944003,15532644,15223170
"427","African Region (AFR)",2021-03-06,56541,1944003,15581390,15223170
"428","African Region (AFR)",2021-03-07,57404,1959861,15615162,15615162
"429","African Region (AFR)",2021-03-08,57557,1967170,15711955,15615162
"430","African Region (AFR)",2021-03-09,57557,1967170,15753852,15615162
"431","African Region (AFR)",2021-03-10,57557,1967170,15803292,15615162
"432","African Region (AFR)",2021-03-11,57557,1967170,15867443,15615162
"433","African Region (AFR)",2021-03-12,57557,1967170,15930583,15615162
"434","African Region (AFR)",2021-03-13,57557,1967170,15975770,15615162
"435","African Region (AFR)",2021-03-14,58308,1983951,16022728,16022728
"436","African Region (AFR)",2021-03-15,58391,1988338,16141369,16022728
"437","African Region (AFR)",2021-03-16,58391,1988338,16178177,16022728
"438","African Region (AFR)",2021-03-17,58391,1988338,16226613,16022728
"439","African Region (AFR)",2021-03-18,58391,1988338,16289477,16022728
